en_query	cs_query
Will there be any shooting stars tonight	kya aj raat koi shooting stars hone wale hai
Set a reminder for Samantha to pick up the cake Saturday at noon .	saturday dopahar ko Samantha ke liye cake pick up karne ke liye reminder set kare
Show me unread chats in Skype	mujhe Skype par unread chats dikhao
can you play 107 . 9 on iheartradio	kya aap iheartradio par 107 . 9 bajaa sakte hai
Is it sweater weather outside ?	kya bahar sweater weather hai ?
Wrecks on the way to work	kaam ku jaane ke raaste me wrecks
give me tomorrow ' s forecast in new york city	mujhe new york city mein kal ka forecast bataiye
Thumbs up message from Pam	Pam ka Thumbs up message
Cancel my 7 am alarm	mere subah 7 bajhe ke alarm ko cancel kare
Set alarm for 5 am Monday through Friday	Monday through Friday ka subah 5 baje ke liye alarm set kare
What should the theme of our wedding be	meri wedding ka theme kya hona chahiye
If I leave in an hour , how long will it take me to get to sams house ?	agar mai ek ghante me nikal jaoon to mujhe sams ghar pahunchne me kitna samay lagega ?
Is it above 28 in degree fahrenheit palo alto	kya palo alto me 28 degree fahrenheit se upar hai
Santa Claus locations this weekend	is weekend Santa Claus locations
what did i set the alarm for	maine alarm kis liye set kiya tha
how much time is left on my timer ?	Mere timer par kitna time bacha he ?
Remind the marketing team to meet in the conference room tomorrow at 9 am .	marketing team ko kal subah 9 bajhe conference room me milne ke liye yaad dilaye
what is the traffic in windham currently	Currently windham me traffic kaisa hai
Get me Directions to Wiregrass Commons Mall from Flowers Hospital on Highway 84 .	mujhe Highway 84 par Flowers Hospital se Wiregrass Commons Mall tak ke liye Directions de .
Remind me to pick milk up after work tonight	Aaj raat mujhe kaam ke baad milk pick karne ke liye yaad dilaayen
Will I need to wear a coat tonight .	Kya muje aaj raat coat pehen na padega .
My roast timer should be decreased by 20 minutes	mere roast timer ko 20 minutes tak kam karna chahiye
Is it below 72 Celsius outside next week	kya agle hafte bahar 72 Celsius se niche hai
remind me to wake up my girlfriend tomorrow at 10 : 00 am for her appointment	mujhe kal subah 10 bajhe meri girlfriend ko jagaane ke liye uske appointment ke liye yaad dilaye
How much time has gone by on the timer ?	timer par kitna time bacha hai ?
How do I get from here to the car dealership on Commercial where I bought my car ?	mai yaha se car dealership par Commercial me kaise jaa sakta hoon ?
Cancel all my alarms for today	aj ke liye mere sarey alarms cancel kare
set alarm every 10 minutes	har 10 minutes ke liye alarm set kare
please play some relaxation music	please kuch relaxation music play kare
Remind me about my tutoring session on Sunday at 7 pm .	mujhe Sunday 7 pm ko mere tutoring session ke baare me yaad dilaayen .
Is traffic bad this evening	kya aaj shaam traffic kharab hai
How much time until 7 am alarm ?	7 am tak alarm par kitna time bakhi hai ?
please tell me the distance between Providence and New York City	please mujhe Providence aur New York City ke beech ki doori batayen
Set alarm for noon today .	aj dopaher ke liye alarm set kare
What is the traffic report today	Aaj ki traffic report kya he
What is the traffic driving from Atlantic City to Edison	Atlantic City se Edison tak traffic driving kya hai
Beyonce concerts in my area next month	agle mahine mere area mei Beyonce ke concerts hai
Play Beauty and the Beast by Jackie Chan	Jackie Chan dwara Beauty and the Beast bajaye
Is it going to be around 79 in degree f here today	kya aj yaha 79 degree f ke aas paas rahega
Establish an alarm for 11 am and 4 pm	11 am aur 4 pm ke liye alarm lagaye
is it going to be cloudy tomorrow ?	Kya kal cloudy hone wala he ?
Skip track	track ko skip kare
What is the weather in Farenheit	Farenheit me mausam kya hai
What ' s the distance between Charlotte and Tampa	Charlotte aur Tampa ke beech ka distance kitna hai
Do I have any reminders about work for today ?	Kya mere paas aaj ke liye work ke baare me koi reminders hai ?
remove monday reminders	monday ke reminders ko hata den
is there a concert this weekend	kya is weekend koi concert hai
What does the traffic look like in Temecula	Temecula me traffic kaisi dikh rahi hai
Any Christmas events happening in New Albany Ohio next week	kya agle hafte New Albany Ohio me koi Christmas events hone wale hai
What is the weather like tomorrow ?	kal ka mousam kaisa hoga
Set a weekly reminder for the accounting staff to meet 1st thing in the morning	accounting staff ke liye ek weekly reminder set karen meet 1st thing in the morning
set a timer for every 15 minutes	har 15 minutes ke liye timer set kare
are we going to get warm weather this week	Kya is week me garm weather hone wala he
Remind me of Mom ' s birthday next Wednesday .	Mujhe agle Wednesday ko Mom ke birthday ke bare me yaad dilaayen .
How long will it take me to drive to Shun ' s house from here if I leave right now	agar mai abhi nikalta hun toh mujhe yaha se Shun ke ghar drive karke jane me kitna samay lagega
Can you please send a video message to Jeff ?	kya aap Jeff ko ek video message send karsakte hai ?
What time is the sunrise	sunrise kab hai
next track	agley track par
next song please	agla song please
Remind me about my interview tomorow	mujhe kal meri interview ke baare me yaad dilaye
remind me to return library books on Tuesday by 3 pm	mujhe Tuesday 3 pm tak library books return karne ke liye yaad dilaye
What is the temperature going to be next monday ?	agle monday ko temperature kitna hone wala hai ?
Delete all alarms and timers .	sabhi alarms aur timers ko hata do .
How long will it take me to get the Florida Keys if I take the turnpike ?	Agar mai turnpike leta hoon toh mujhe Florida Keys pahuchne mei kitni der lagegi ?
what is the expected low tomorrow ?	kal ka expected low kya hai ?
How long is the drive to the Catskills from Pennsylvania	Pennsylvania se the Catskills tak drive kitni lambi hai
send a message to Bob Michaels that says thank you for the game .	Bob Michaels ko ek message bhejo jo kehta he ki thank you for the game
go on with my stopped timer	Mere stoped timer ke sath chalu kare
Set up a reminder for Frank and Bob ' s wedding on September 3rd ; remind me to buy a gift a week in advance .	Frank aur Bob ke wedding ke liye September 3rd ko reminder set kare ; mujhe ek week pehle gift khareedne ke liye yaad dilaayen .
Are there any traffic delays on my way home	Kya ghar ke raste me koi traffic delays hai
WHAT WILL THE TRAFFIC BE LIKE FRIDAY	FRIDAY ko TRAFFIC KAISA HOGA
are there any accidents	Kya waha koi accidents he
Will I need my umbrella tomorrow afternoon ?	kya mujhe kal dopahar apni umbrella ki zarurat padegi ?
What is the weather like in Hawaii right now ?	Hawai me abhi mausam kaisa hai ?
Next Saturday what times is the Jazz concert at Travis Park in San Antonio	Agle Saturday ko San Antonio me Travis Park me jazz concert kab hai
Will it hail today ?	kya aaj ole girne wale hai ?
Play classical music for one hour .	ek ghante ke liye classical music bajao
How ' s the weather looking for the weekend ?	weekend ke liye mausam kaisa dikh raha hai ?
Restart this song	Is song ko phir se shuru karen
How are the traffic conditions in Kansas City	Kansas City me traffic ki conditions kya he
Get all my weekend reminders with Max .	mere sabhi weekend reminders Max ke sath pahunchne
tell me tomorrow ' s reminders	mujhe kal ke reminders bataye
Snooze my 5 am alarm every 10 minutes	Mera 5 am ka alarm har 10 minute me snooze kare
Is it going to storm today ?	kya aaj toofan aane wala hai ?
How long will it take me to get to the mall in Fayetteville from here if I leave at 3 : 00 this afternoon ?	Agar mai is afternoon 3 : 00 baje nikal jaoon to mujhe yaha se Fayetteville me the mall tak pahunchne me kitna samay lagega ?
i need to listen to Bruno Mars	mujhe Bruno Mars ko sunna hai
Setup a reminder for the team meeting this Saturday at 10 am .	Is saturday subah 10 bajhe team meeting ke liye reminder set kare
I want to listen to Justin Bieber on pandora	Mai pandora par Justin Bieber ko sunna chahta hu
Turn on the timer in 5 minutes	5 minutes me timer ko on karo
set reminder for morning walk	subha walk ke liye reminder set karen
Cancel tomorrow ' s alarm	kal ke alarm cancel kardo
what are the family events happening this weekend	is weekend par family events kya hai
What is the coldest day this week ?	is haftey ka sabse coldest day kya hai ?
Kendrick Lamar concerts happening this month	is mahine hone wale Kendrick Lamar ke concerts
is it currently raining in seattle ?	Kya seattle me abhi baarish horahi hai ?
Set an alarm for every two hours .	har do ghante ke liye alarm set kare
Hows the traffic around LAX	LAX ke aas paas traffic kaisa hai
What is the current drive time to Mt . Hood	Mt . Hood tak current drive time kya hai
what ' s the traffic in cairo today	aaj cairo me traffic kaisa hai
What time can I get to safeway from home with the current traffic	current traffic ke sath mai ghar se safeway kab tak pahunch sakta hu
i want to listen to sam hunt	mai sam hunt sunna chahta hoon
Make a new alarm for 2 pm , 3 pm and 4 pm this coming Monday	is coming Monday 2 pm , 3 pm aur 4 pm ke liye ek naya alarm banayen
I would like an alarm for this friday 9 in the morning .	mujhe is friday subah 9 bajhe ke liye alarm chahiye .
how many alarms do i have set right now	Mere paas abhi kitne alarms set hai
What is the water temperature at Lake Ontario today	aaj Lake Ontario me water temperature kya he
Make my mail alarm half on hour earlier on Tuesday .	mujhe Tuesday ko adhe ghante pehle mail alarm banaye
send a message to Jin and Sop that I am on the way home .	Jin aur Sop ko message bhejo ki I am on the way home .
1 minute on the clock please	Please clock par 1 minute add kare
set alarm for 6 pm	6 pm ke liye alarm lagaye
whats the next 10 day forecast	agley 10 din ka forecast kya hai
How cold is it this weekend around Paris in degree Fahrenheit	Is weekend Paris ke paas kitna cold hone wala he in degree Fahrenheit
Please fix me a flight incoming alarm for today at 6 pm .	Please mere liye ek flight incoming alarm fix kare for today at 6 pm .
how much time on the alarm	alarm par kitna time bakhi hai
start playing 95 . 1	95 . 1 bajaana shuru karo
When should I leave to get to St . Paul by noon ?	mujhe dopahar tak St . Paul pahuchne ke liye kab nikalna chahiye ?
Are there any free Christmas parties in the area	kya area mei koi free Christmas parties hai
Remind me to wake up for school at 8 am	mujhe 8 am ko school ke liye tayyar hone ke liye yaad dilaye
How hot will it be on Tuesday ?	Tuesday ko kitni garmi hone wali hai ?
Set up reminder to leave money for housekeeper every Friday at 1 pm .	har Friday 1 pm ko housekeeper ke liye paise bachne ke liye reminder set kare
Remind about road trip	road trip ke bare mei yaad dilaye
Wake me up at 10 am every Sunday via my alarm .	mujhe har Sunday 10 am ko mere alarm ke zariye uthane ke liye bolo .
concerts next week	agle hafte ke concerts
delete my reminder for the dentist	dentist ke liye mere reminder ko delete karo
Tell me the weather in Australia	Muje Australia ke mausam ke baarey me bataye
best detour to avoid traffic on the way to the AT & T center from Joyce ' s house ?	Joyce ke ghar se AT & T center jaate samay traffic se bachne ke liye sabse acha detour konsa hai ?
Is it raining out there ?	Kya bahar baarish ho rahi hai ?
I want to edit my reminders	mai mere reminders edit karna chahta hoon
i want the time to go off at 10 on the 15th May	mai chahta hu ki time 15th May ko 10 baje band hojaye
put the song on repeat	song ko repeat par rakho
Where ' s the construction at	construction kaha hai
Are there predicted hurricanes for my area ?	Kya mere area ke liye koi hurricanes predicted he ?
I go back to work on Tuesday April 18th , make me an alarm for 7 am on that day .	mai Tuesday April 18th ko kaam par vapas jaunga , us din subah 7 baje ke liye mere liye alarm banao
Should I wear a skirt today ?	Kya aaj mujhe skirt pehenna chahiye ?
not now !	abhi nahi !
How long to get to downtown if I leave in 5 minutes and take detours ?	Agar mai 5 minutes mei nikalta hu aur detours leta hu toh downtown pahunchne me kitna samay lagega ?
How many reminders do I have for Thursday ?	Mere paas thursday ke liye kitne reminders he ?
I need an alarm for 16 July	mujhe 16 July ke liye alarm chahiye
Play some Aerosmith	Aerosmith play kariye
delete my reminder to get a haircut since i had one today	haircut karne ke liye mere reminder ko delete kare since i had one today
how is it out there	waha bahar kaisa hai
What is the temperature	temperature kya hai
What is the Weather in Texas right now	Texas me abhi mausam kaisa hai
which route gets me to the game on time	Mujhe game par time se pohochne ke liye konsa route mujhe time se pahuch sakta hai
when is there snow forecasted	snow kab forecast kia gaya tha
Add a new timer	ek naya timer add karo
i want a timer set for one minute	mai ek minute ke liye set kiya hua ek timer chahiye
change alerts on fri for the swim team to 4 : 45 and change sat to 9 : 45	Fri ke liye swim team ke liye alerts ko 4 : 45 ke liye badlein aur sat ko 9 : 45 ke liye badlein
When is the thunderstorm going to start ?	thunderstorm kab shuru hoga ?
Put on 10 mins timer for today	aj ke liye 10 mins ka timer set kare
Are there any concerts coming up in Salem	kya Salem me koi concerts aane wala hai
What is the forecast ?	forecast kya hai ?
Set a weekly reminder for groceries .	groceries ke liye ek weekly reminder set karen .
How many miles from New Mexico to Texas	New Mexico se Texas tak kitne miles hai
Ask Kate if she is going to be late .	Kate se pucho ki kya she is going to be late .
Is traffic slow in Pittsburgh right now	Kya abhi Pittsburgh me traffic slow he
Do I to wear sun glasses or Jacket ?	kya mujhe sun glasses pehnna chahiye ya Jacket ?
list of gaming events happening in New York city this weekend	New York city me is weekend hone wale gaming events ki list
At what time does the Boat parade start this Sunday	is sunday ko Boat parade kis time par shuru hogi
How many miles long is the traffic jam	traffic jam kitne miles tak he
I ' d like a reminder for my breakfast with dad .	mai dad ke sath mere breakfast ke liye ek reminder chahiye .
set my alarm to vibrate in 5 hours	mere alarm ko 5 ghante me vibrate karne ke liye set kare
Send my Aunt a message	meri Aunt ko message bhejo
play some instrumental music	kuch instrumental music bajao
change the time of my meeting alert to 830 pm on Monday	mere meeting alert ka samay Monday 830 pm ke liye badlein
Play last song again .	last song ko phir se bajao .
what can i do this weekend	is weekend mai kya kar sakta hu
Remind me to take the chicken out of the freezer at 11 AM today .	Muje aaj subah 11 baje freezer se chicken nikalane ke liye remind karaye .
Set a reminder to place an order for work at noon today	aj dopahar ko work ke liye order plac karne ke liye reminder set kare
How long does it take to drive from Salt Lake City to Spokane	Salt Lake City se Spokane tak drive karne mei kitni der lagegi
What is the temperature in Celsius ?	Celsius me temperature kya hai ?
Temperature next week near San Francisco F	Agle hafte San Francisco ke paas temperature F me
Where are some New Years parties	kuch New Years parties kaha hai
how is the weather in New York right now	New York me abhi mausam kaisa hai
Remind me to reply to all emails by tomorrow .	Mujhe kal tak sabhi emails ko reply karne ke liye yaad dilaayen .
Should I buy emergency supplies at the store tonight	Kya aaj raat mujhe store se emergency supplies kharidne chahiye
how long is it going to take me to get to the imax on Carpenter if I leave now .	Agar mai abhi nikal jaoon to mujhe Carpenter par imax tak pahunchne me kitna samay lagega .
Please do not let me forget to file taxes	Please mujhe taxes file karne ke liye yaad dilaye
Change the alarm at 7 am to 6 am	alarm ko 7 am se 6 am tak badal do
How cold will it get today ?	aaj kitni thand hogi ?
How long will it take to get to Joe ' s from work right now ?	abhi work se Joe tak pohochne me kitna time lagega ?
Repeat alarm every week	har hafte alarm ko repeat kare
How hot is it today	aj kitni garmi hai
how much snow will chicago get this weekend ?	Is weekend chicago me kitni barf padegi ?
Set a daily timer for 10 minutes at 3 : 00 pm	3 00 pm ko 10 minutes ke liye daily timer set kare
Are any new nightclubs opening in Minneapolis this weekend	Kya Minneapolis me is weekend koi naye nightclubs khul rahe he
how much time is left on my timer ?	Mere timer par kitna time bacha he ?
add the kendrick lamar album DAMN . to my current playlist	mere current playlist me kendrick lamar ka album DAMN ko add karen .
When is sun in the forecast for this week ?	is week ke liye sun kab forecast me hai ?
Tell my brother that Mentor Library is hosting a Dahmer reading tonight .	mere bhai ko bolo ki Mentor Library is hosting a Dahmer reading tonight .
What will the wind speed be today ?	Aaj ki wind speed kya hogi ?
How long will it take me to get to Legoland	Muje Legoland tak pohochne me kitna time lagega
Could you cancel my alarm for tonight ?	Kya aap aaj raat ke liye mera alarm cancel karsakte hai ?
Please play next song	Please agla song play kare
Anything to do tomorrow in Orlando	kal Orlando me karne ke liye chize
What time should I leave the library to make it to work by 6PM ?	mujhe library se kitne baje nikal na chahiye 6PM tak work par pahunchne ke liye
Set the alarm for every 30 seconds for two minutes .	Do minutes ke liye har 30 second me alarm set kare
Add another 2 hours to my timer .	mere timer me ek aur 2 hours add kare
What are the reminders I have for Monday , August 20th ?	Mere paas monday , August 20th ke liye konse reminders he ?
things to do in Miami in general	Miami me karne ke liye cheeze
Remind me to turn off the coffee pot before 9 am .	mujhe 9 am se pehle coffee pot band karne ke liye yaad dilaye
How long until my alarm goes off ?	Mera alarm kab tak band rahega ?
Send a response to Annie .	Annie ko ek response bhejo
switch on the alarm	alarm ko on karo
set timer for 2 min 30 sec	2 min 30 sec ke liye timer set karo
Can you make the timer for proofing pause	kya aap proofing ke liye timer ko pause karsakte hai
What are some fun things going on nearby	aas paas kuch mazedaar chizein chal rahe hai
change reminder location	reminder location badlein
Set an alarm for the 16th at 1 a . m .	16th ko 1 am ke liye ek alarm set karen .
pause the running timer	running timer ko pause karo
Pull up all reminders for the moms group meetings for the rest of the year	rest of the year ke liye moms group meetings ke sarey reminders pull up kare
what ' s thursday ' s weather ?	thursday ka weather kya hai ?
Traffic in Los Angeles	Los Angeles me traffic
will it rain today	kya aj barish hogi
How long of a delay is traffic causing	traffic kaisa delay causing hai
Family events in Phoenix	Phoenix mei Family events hai
Add reminder to return library books tomorrow .	kal library books return karne ke liye reminder add karen
Tell my wife that I have booked the spa date for us on Saturday at 10 am .	mere pati ko bolo ki maine saturday subah 10 bajhe ke liye spa date booked kar diya hai
What ' s the distance between middlebury and chicago	middlebury aur chicago ke beech ka distance kitna hai
Please send message to Julie asking her where the festival is at this weekend .	Please Julie ko message bhejkar pucho ki where the festival is at this weekend .
when is sunset in Hawaii	Hawai me sunset kab hai
Read me the last message from mom .	Mere liye mom ka last message padker sunaiye
Weather Outlook for New South Wales ?	New South Wales ke liye weather Outlook kya hai ?
restart my timer	mere timer ko restart kare
What ' s the weather going to be like in London in three days ?	London me teen din me mausam kaisa hone wala hai ?
Please cancel the reminder about the holiday bash	please holiday bash ke reminder ko cancel kardo
next song	agla song
text to Mark .	Mark ko text bheje
Can you think of anything to do that will make me laugh	kya aap kuch bhi karsakte hai jo mujhe laugh karne ke liye motive kare
drop the egg timer	egg timer ko drop kare
Turn on the music please	music ko on karo please
Pause my music	mere music ko rok do
Resume tracking my time	mere time ko resume kardo
Is there a chance we ' ll have flash flooding today ?	Kya aaj flooding hone ke chances he ?
get reminders that are set 1 hour before the event today	Aaj event se 1 ghanta pehle ke liye reminders ko dikhayen
Show me all my reminders for September 1st .	September 1st ke liye mujhe mere saarey reminders dikhao .
How many reminders for setting out the trash have I had so far this year ?	is saal maine kachra baahar nikalne ke liye kitne reminders gehae hai ?
repeat the last track again please	last track ko fir se chalaye please
Set my phone timer for 10 minutes	10 minutes ke liye timer ko set kare
please look up chats now	please abhi chats ko dikhao
What ' s the weather got in store for tomorrow in Bournemouth	Bournemouth me kal ke liye mausam kaisa hai
are we going to get an ice storm	Kya humko ice storm milne wala he
Add the track to my playlist	mere playlist me track ko add karen
What ' s happening tomorrow	kal kya ho raha he
Set timer for 45 seconds .	45 seconds ke liye timer set karen .
How many miles is it from here to Niagara Falls , Canada	yaha se Niagara Falls , Canada tak kitne miles hai
Will it take me longer than an hour to get to Tracy ' s house in current traffic ?	kya mujhe current traffic me Tracy ke ghar pahunchne me ek ghante se zyada lagega ?
delete the reminder about the meeting	meeting ke liye reminder ko delete kare
Set timer for 10 30 second intervals	10 30 second intervals ke liye timer set kare
add spinach and onions to grocery list reminder	grocery list reminder me Spinach aur onions ko add karen
Play classical music	classical music play karo
Play next song .	agla song bajao
Create a new alarm for Monday 18th of June at 9 am	Monday 18th June ko subah 9 bajhe ke liye ek naye alarm ko create karen
restart this song	is gaaney ko restart kare
Are the roads going to be wet today ?	kya aaj roads wet hone wale hai ?
Pet friendly hotels in Seattle	Seattle me pet friendly hotels
Orlando humidity right now	Orlando me abhi humidity
can i bring a coat	kya mai coat la sakta hoon
Set a new alarm	ek naya alarm set karo
Show me all the alarms	mujhe sabhi alarms dikhao
set the timer for 30 seconds	30 seconds ke liye timer set karen
How cold is it going to be on Sunday ?	Sunday ko kitna cold hone wala he ?
Will you tell me what the weather is in Kabul ?	Kya aap mujhe bata sakte hai Kabul me mausam kaisa hai ?
Remind me that Skylee has a doctor ' s appointment on Friday at 2 : 30 pm .	Mujhe yaad dilao ki Friday 2 30 pm ko Skylee ko doctor ki appointment hai .
message laurie that i am on the ferry and will be 20 minutes late	laurie ko message karo ki i am on the ferry and will be 20 minutes late
what is the distance between chicago and denver	chicago aur denver ke beech ka distance kitna hai
Should I wear a winter coat tonight	Kya aaj raat ko muje winter coat pehenna chahiye
set alarm for 640	640 ke liye alarm lagaye
Is there a chance of rain next month	kya agle mahine baarish hone ke koi chance hai
are there any Andre Rieu concerts coming to the Broward Center next year	kya agle saal Broward Center mei koi Andre Rieu ke concerts aane wale hai
how many routes I can choose to go to the airport	mai airport jaane ke liye kitne routes choose kar sakta hoon
show me reminder to meet my mom	meri mom ko milne ke liye mujhe reminder dikhao
Remind me to water the garden tonight	Mujhe aj raat ko garden ko water karne ke liye yaad dilaye
Set alarms for 10 am and 11 am .	10 am aur 11 am ke liye alarms set karen .
what is the pollen count	pollen count kitna hai
Music events in Jackson this weekend	Is weekend Jackson me Music events hai
Midnight alarm	midnight ka alarm set kare
Is there anything on the hiking group chat ?	kya hiking group chat par kuch hai ?
How busy is route 301	route 301 kitna busy hai
Put this song on repeat .	is gaaney ko repeat par rakhiye
Text Mikayla ' i didn ' t see him doing that yesterday '	Mikayla ko text karo ki i didn ' t see him doing that yesterday '
what is my next alarm	mera agla alarm kis liye hai
remind me to set my alarm every night by 9 pm	mujhe har raat 9 pm tak mera alarm set karne ke liye yaad dilaayen
Is there going to be any snow storms coming soon ?	kya abhi koi snow storms aane wale hai ?
play Stone sour Song # 3	Stone sour song # 3 ko bajao
How is traffic on the turnpike in West Palm Beach FL	West Palm Beach FL me turnpike par traffic kaisa hai
Add 5 minutes to my timer	mere timer me 5 minute add kardo
is taylor swift coming to town	kya taylor swift town mei aane wali hai
Pause timer please	timer pause kare
Please remind me at the end of the day to take the car in to get worked on .	Please mujhe din ke end me car ko worked on karne ke liye yaad dilaye
how long will it take me to drive to monroe	mujhe monroe ke liye drive karne mei kitni der lagegi
Can I arrive in Raleigh by 8 pm tonight if I depart by 7 am today ?	agar mai aaj subha 7 baje tak nikal jaoon to kya mai aaj raat 8 baje tak Raleigh me pahunch sakta hoon ?
stop that timer	wo timer ko band kardo
LISTEN TO LIGHTS CHANNEL ON PANDORA .	PANDORA PAR LIGHTS CHANNEL KO LISTEN TO
What time does the rain start in my area	mere area me baarish kab shuru hogi
play me Public Enemy ' s first album	Mere liye Public Enemy ka pehla album bajao
Snooze another 15 minutes	aur 15 minutes snooze kare
tell Elaine , see you tomorrow .	Elaine ko bolo ki , see you tomorrow .
Tell me how the weather is in Queensland , Australia	Muje bataiye ki Queensland , Australia me mausam kaisa hai
What is the traffic from my house to Baltimore	Baltimore se mere ghar tak traffic kitna hai
Can I make a reservation to ride and dine on the Tahoe Queen next Wednesday evening	kya mai agle Wednesday sham ko Tahoe Queen par ride aur dine karne ke liye reservation kar sakta hoon
Remind me to buy groceries with an alarm today at 3 pm .	aaj 3 pm ko mujhe groceries kharidne ke liye yaad dilayen
What is my next reminder	mera next reminder kya hai
Can I get to Bellevue by 11 : 00 with the current traffic conditions ?	kya mai current traffic conditions ke hisaaab se Bellevue ko 1100 tak pahunch sakta hu ?
Stop alarm	alarm rokein
Tell Rob to meet me at the Cardinals game	Rob ko message karo ki meet me at the Cardinals game
message Harriet please call an ambulance .	Harriet ko message karo ki please ambulance ko call karne ke liye .
Sleep alarm for 10 minutes	10 minutes ke liye alarm silent kare
Remove 5 am alarm on weekends	weekends par subha 5 baje ke alarm ko hatado
Let Mary know that Madonna ' s concert will be in El Paso in September	Mary ko batao ki Madonna ka concert El Paso me september me hone wala hai
set alarm for 5 am tomorrow	kal subha 5 baje ke liye alarm set karen
Message Mom Im home .	Mom ko message karo ke \ \ n Im home .
What is traffic like in Lake Wales	Lake Wales mei traffic kaisa hai
Reply with how about we meet for dinner tonight ?	how about we meet for dinner tonight ?
Delete every alarm that I have set for Monday .	Monday ke liye har alarm ko delete kardo jo bhi maine set kiya hai
Painting events	Painting events
Concerts for Panic ! at the Disco next week	Agle hafte Panic ! at the Disco ke liye Concerts
Hey Siri , please send a message to John Smith , call me at 7 pm .	Hey Siri , please John Smith ko message bhejen , call me at 7 pm .
Why is rush hour traffic so heavy	rush hour ka traffic kitna zada hai
What is my alarm set for on Wednesday ?	Wednesday ke liye mera alarm set hai ?
Can you add 5 minutes to the timer when it sounds	kya aap timer me ek 5 minute add karsakte hai jab wo sounds kare
how much time is left on the current timer ?	Mere current timer me kitna time bacha he ?
If I don ' t take the freeway , how long will it take to get to my sister ' s house ?	agar mai freeway nahi leta hoon , toh meri sister ke ghar pahunchne me kitna samay lagega ?
What time do I have to leave to get to the Willie nelson concert by 6 ?	mujhe kitne bajhe nikalna chahiye 6 baje tak the Willie nelson concert me jane ke liye
Alarms now , if you please	Please abhi alarms dijiye , agar aap please hai
add 35 minutes to the timer	timer me 35 minutes add karo
Did Sam send any SMSs in the last week ?	kya sam ne pichle hafte koi SMSs bheje hai ?
Christmas lights near Philadelphia open now	Philadelphia ke aas pas ke Christmas lights abhi khul gaye hai
children ' s songs	children ke songs
Set a daily alarm at midday	midday ko ek daily alarm set karen
Remind me to send meeting minutes to all members of the baseball club by Friday .	Mujhe Friday tak baseball club ke saarey members ko meeting minutes bhejne ke liye yaad dilaayen .
play arch enemy ' s latest album	arch enemy ke latest album ko bajao
give me the traffic updates	mujhe traffic updates dijiye
Create alarms for 1 pm and 5 pm for Wednesday and Friday	Wednesday aur Friday ke liye 1 pm aur 5 pm ka alarm create kare
Music events in St Augustine this weekend	is weekend St Augustine mei music events hai
I would like to hear music by Gustav Mahler .	mujhe Gustav Mahler ka music sunna hai .
Cancel the alarm set for 5 am .	subah 5 bajhe ke liye set alarm cancel kare .
When will it be dry ?	dry kab hoga ?
Snooze my alarm for a minute	ek minute ke liye mera alarm snooze karen
Remind me to take the chicken out of the freezer tomorrow morning .	Mujhe kal subha chicken ko freezer se baahar nikalne ke liye yaad dilaayen .
remove Jim from our reminder for the party next wednesday	agle wednesday ko party ke liye Jim ko mere reminder se hata den
when is my next reminder for	mera next reminder kab he
How heavy is traffic by Laguna Mall	Laguna Mall ke aas pas traffic kitna zada hai
